col,x,amplitude,phase
2284, 77.677, 2881.990, 43.761
2285, 77.636, 2881.377, 43.762
2286, 77.574, 2880.456, 43.763
2287, 77.484, 2879.139, 43.764
2288, 77.504, 2879.423, 43.764
2289, 77.641, 2881.449, 43.762
2290, 77.728, 2882.739, 43.760
2291, 77.802, 2883.828, 43.759
2292, 77.866, 2884.766, 43.758
2293, 77.950, 2886.006, 43.757
2294, 78.045, 2887.405, 43.755
2295, 78.168, 2889.216, 43.753
2296, 78.262, 2890.601, 43.752
2297, 78.325, 2891.523, 43.751
2298, 78.482, 2893.835, 43.749
2299, 78.602, 2895.604, 43.747
2300, 78.857, 2899.341, 43.743
2301, 79.087, 2902.724, 43.740
2302, 79.204, 2904.439, 43.739
2303, 79.496, 2908.717, 43.735
2304, 79.674, 2911.307, 43.733
2305, 79.918, 2914.877, 43.730
2306, 80.142, 2918.149, 43.728
2307, 80.115, 2917.750, 43.728
2308, 80.272, 2920.043, 43.726
2309, 80.389, 2921.753, 43.725
2310, 80.421, 2922.217, 43.725
2311, 80.536, 2923.891, 43.724
2312, 80.529, 2923.792, 43.724
2313, 80.461, 2922.802, 43.724
2314, 80.478, 2923.045, 43.724
2315, 80.421, 2922.227, 43.725
2316, 80.288, 2920.277, 43.726
2317, 80.154, 2918.322, 43.728
2318, 79.924, 2914.967, 43.730
2319, 79.804, 2913.209, 43.732
2320, 79.593, 2910.129, 43.734
2321, 79.384, 2907.064, 43.737
2322, 79.343, 2906.465, 43.737
2323, 79.151, 2903.652, 43.740
2324, 79.045, 2902.110, 43.741
2325, 78.973, 2901.042, 43.742
2326, 78.867, 2899.487, 43.743
2327, 78.905, 2900.045, 43.743
2328, 78.942, 2900.590, 43.742
2329, 78.926, 2900.354, 43.743
2330, 78.957, 2900.807, 43.742
2331, 78.907, 2900.083, 43.743
2332, 78.767, 2898.029, 43.745
2333, 78.711, 2897.199, 43.745
2334, 78.616, 2895.799, 43.747
2335, 78.550, 2894.834, 43.748
2336, 78.519, 2894.382, 43.748
2337, 78.447, 2893.327, 43.749
2338, 78.397, 2892.591, 43.750
2339, 78.418, 2892.904, 43.750
2340, 78.485, 2893.880, 43.749
2341, 78.481, 2893.820, 43.749
2342, 78.598, 2895.541, 43.747
2343, 78.655, 2896.375, 43.746
2344, 78.689, 2896.884, 43.746
2345, 78.899, 2899.955, 43.743
2346, 78.862, 2899.423, 43.743
2347, 79.007, 2901.548, 43.741
2348, 79.180, 2904.081, 43.739
2349, 79.088, 2902.739, 43.740
2350, 79.275, 2905.474, 43.738
2351, 79.316, 2906.079, 43.737
2352, 79.357, 2906.675, 43.737
2353, 79.471, 2908.340, 43.736
2354, 79.366, 2906.799, 43.737
2355, 79.434, 2907.802, 43.736
2356, 79.475, 2908.399, 43.735
2357, 79.485, 2908.544, 43.735
2358, 79.613, 2910.428, 43.734
2359, 79.640, 2910.812, 43.733
2360, 79.665, 2911.187, 43.733
2361, 79.776, 2912.808, 43.732
2362, 79.760, 2912.571, 43.732
2363, 79.727, 2912.082, 43.732
2364, 79.816, 2913.389, 43.731
2365, 79.766, 2912.665, 43.732
2366, 79.745, 2912.358, 43.732
2367, 79.729, 2912.125, 43.732
2368, 79.723, 2912.026, 43.732
2369, 79.807, 2913.257, 43.731
2370, 79.816, 2913.385, 43.731
2371, 79.868, 2914.152, 43.731
2372, 79.736, 2912.215, 43.732
2373, 79.710, 2911.842, 43.733
2374, 79.817, 2913.405, 43.731
2375, 79.598, 2910.205, 43.734
2376, 79.632, 2910.694, 43.734
2377, 79.752, 2912.455, 43.732
2378, 79.617, 2910.476, 43.734
2379, 79.610, 2910.379, 43.734
2380, 79.577, 2909.902, 43.734
2381, 79.621, 2910.536, 43.734
2382, 79.537, 2909.311, 43.735
2383, 79.403, 2907.355, 43.736
2384, 79.468, 2908.293, 43.736
2385, 79.231, 2904.834, 43.739
2386, 79.334, 2906.343, 43.737
2387, 79.567, 2909.748, 43.734
2388, 79.517, 2909.014, 43.735
2389, 79.590, 2910.089, 43.734
2390, 79.492, 2908.646, 43.735
2391, 79.553, 2909.548, 43.734
2392, 79.641, 2910.835, 43.733
2393, 79.722, 2912.011, 43.732
2394, 79.866, 2914.123, 43.731
2395, 79.772, 2912.742, 43.732
2396, 79.804, 2913.210, 43.732
2397, 79.752, 2912.460, 43.732
2398, 79.651, 2910.982, 43.733
2399, 79.692, 2911.582, 43.733
2400, 79.605, 2910.310, 43.734
2401, 79.540, 2909.352, 43.735
2402, 79.589, 2910.063, 43.734
2403, 79.514, 2908.977, 43.735
2404, 79.394, 2907.221, 43.736
2405, 79.340, 2906.423, 43.737
2406, 79.219, 2904.659, 43.739
2407, 79.231, 2904.829, 43.739
2408, 79.160, 2903.784, 43.739
2409, 79.066, 2902.416, 43.741
2410, 79.195, 2904.296, 43.739
2411, 79.033, 2901.922, 43.741
